角色,根角色描述,PT-派生角色,PT- 派生描述
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_C000_PT5C032_01,大庆油田_大庆油田离退休管理中心通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_C000_PT5C033_01,大庆油田_大庆油田热源服务公司矿区遗留业务通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_C000_PT5C00F_01,大庆油田_大庆油田热源公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_C000_PT5C02M_01,大庆油田_大庆油田生态环境管护公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_C000_PT5C02P_01,大庆油田_大庆油田水务环保公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_C000_PT5C027_01,大庆油田_大庆油田文化集团报捷公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_C000_PT5C00J_01,大庆油田_大庆油田文化集团未上市通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_C000_PT5C06J_01,大庆油田_大庆油田职业学院通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_C000_PT5C07R_01,大庆油田_大庆石油管理局有限公司档案馆通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_C000_PT5C002_01,大庆油田_大庆石油管理局机关经费总部及其他通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_C000_PT5C07P_01,大庆油田_昆仑集团矿区业务通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_C000_PT5C00D_01,大庆油田_大庆油田庆北工矿通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_C000_PT5C00C_01,大庆油田_大庆油田庆南工矿通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_C000_PT5C06K_01,大庆油田_大庆油田铁人学院幼教管理部通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_C000_PT5C00G_01,大庆油田_大庆油田铁人学院通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_C000_PT5C038_01,大庆油田_通勤服务公司北区分公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_C000_PT5C00H_01,大庆油田_大庆油田通勤服务公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_C000_PT5C036_01,大庆油田_通勤服务公司乘风分公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_C000_PT5C034_01,大庆油田_通勤服务公司东风分公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_C000_PT5C040_01,大庆油田_通勤服务公司民新分公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_C000_PT5C037_01,大庆油田_通勤服务公司南区分公司通用工厂_货物移动_操作
